name,address,categories,latitude,longitude
"Smitty's Family Restaurant (Henderson)","#9 1919 Henderson Highway, Winnipeg, MB R2G 1P4","Breakfast and Brunch,American,Sandwiches,Chicken,Salads,Burgers,Fish and Chips,Healthy,Local Eats",49.9556007,-97.0813980
"Taco Bell (10 - 8th Avenue S E)","10 8th Ave Se, Saint Cloud, MN 56304","Burritos,Fast Food,Mexican",45.5680008,-94.1500015
"Hi-Ho South Burgers & Brews","10 Center Ave E, Dilworth, MN 56529","Burgers,American,Sandwiches",46.8768005,-96.7109985
"Tropical Smoothie Cafe (10 College Avenue)","10 College Avenue, Appleton, WI 54911","Juice and Smoothies,Healthy,Sandwich",44.2621002,-88.4148026
"Wendy's (10 Highway 10 N)","10 Highway 10 N, St.Cloud, MN 56304","American,Burgers,Fast Food",45.0093994,-96.6509018
"Sal’s on fifth","10 North 5th Street, Minneapolis, MN 55403",NULL,44.9798012,-93.2813034
"Subway (10 Sibley Pkwy)","10 Sibley Pkwy, Mankato, MN 56001","$,Fast Food,Sandwich,American",44.1619987,-94.0201035
"Chatime Southdale","10 Southdale Center, Edina, MN 55435","$,Asian,Desserts,Juice and Smoothies,Local Eats",44.8805008,-93.3339996
"Burger King #7961 (100 21st Street North)","100 21st Street North, Moorhead, MN 56560","American,burger,Fast Food,Family Meals",46.8764992,-96.7547989
"Booster Juice (100 Arthur Street W.)","100 Arthur Street W., Thunder Bay, ON P7E 5P6","Healthy,Juice and Smoothies,Vegetarian Friendly,Allergy Friendly",48.3805008,-89.2878036
"Burger King (100 Grand Avenue East)","100 Grand Avenue East, South Saint Paul, MN 55075","$,American,burger,Fast Food,Family Meals",44.8931007,-93.0422974
"Starbucks (Minneapolis - 100 Hennepin)","100 Hennepin Ave, Minneapolis, MN 55401","$,Bakery,Breakfast and Brunch,Cafe,Coffee & Tea",44.9837990,-93.2760010
"Perkins Restaurant & Bakery (Green Bay - N Military Ave.)","100 N Military Ave, Green Bay, WI","Breakfast and Brunch,American,Dinner,Bakery,Desserts,Family Meals",44.5299988,-88.0680008
"White Castle (100 W Lake St)","100 W Lake St, Minneapolis, MN 55408","$$,Burgers,American",44.9486008,-93.2888031
"Pancho Villa Mexican Restaurant","100 W. 7th Street, Monticello, MN 55362","Black-owned,Mexican,Latin American,New Mexican,Local Eats",45.3003006,-93.8070984
"Burger King (100 West 98th Street)","100 West 98th Street, Bloomington, MN 55420","$,American,Fast Food,Burgers,Family Meals",44.8266983,-93.2888031
"Dairy Queen Grill & Chill (1000 E Main St)","1000 E Main St, Mandan, ND 58554","American,Fast Food,Ice Cream & Frozen Yogurt",46.8283997,-100.8860016
"Freshly Squeezed (Intercity Shopping Center))","1000 Fort William Road, Thunder Bay, ON P7B 6B9","Juice and Smoothies,Breakfast and Brunch,Vegetarian,Healthy,Local Eats",48.4023018,-89.2528000
"Honey Baked Ham & Cafe of Appleton","1000 W Wisconsin Ave Suite 12, Appleton, WI 54914","Salads,Sandwich,Healthy,Exclusive to Eats",44.2736015,-88.4292984
"Blaze Pizza (1000 Washington Ave. SE)","1000 Washington Ave. Se, Minneapolis, MN 55414","$,Pizza,American",44.9734993,-93.2322998
"McDonald's® (38th St SW & 9th Ave S)","1001 38th St S, Fargo, ND","American,Burgers,Fast Food",46.8653984,-96.8538971
"El Loro Mexican Restaurant","1001 Division Street, Waite Park, MN 56387","Mexican,Latin American,New Mexican,Comfort Food,Salads,Steak,Vegetarian Friendly,Seafood,Healthy,Local Eats",45.5537987,-94.2389984
"McDonald's (1001 Empress Street)","1001 Empress Street, Winnipeg, MB R3R 3P8","American,Burgers,Fast Food",49.8968010,-97.2027969
"KFC (1004 Second Street South)","1004 2nd St S, Waite Park, MN 56387","American,Fast Food,wings,Family Meals",45.5493011,-94.2385025
"Starbucks (Main & North 10th)","1006 Main Avenue, De Pere, WI 54115","Bakery,Breakfast and Brunch,Cafe,Coffee & Tea",44.4519005,-88.0951004
"Leeann Chin (101 89th Ave NE)","101 89th Ave Ne, Blaine, MN 55434","Chinese,Fast Food,Asian,Noodles,Asian Fusion,Chicken,Thai",45.1321983,-93.2721024
"Hardee's (101 West Lind Court)","101 West Lind Court, Mankato, MN 56001","American,burger,Fast Food,Fast Food",44.1892014,-94.0214996
